Feature,Importance
ROI_Efficiency,0.5525174
Acquisition_Cost,0.19383281
CPM,0.04022287
CPC,0.026131278
Impressions,0.021718947
Clicks,0.015236608
Click_to_Engagement_Ratio,0.012302797
Engagement_per_Click,0.011703541
Impression_to_Click_Efficiency,0.011681022
CTR,0.01162123
Customer_Segment_encoded,0.01088729
Language_encoded,0.010690953
Engagement_Score,0.010619668
Duration_Days,0.010590291
Location_encoded,0.010579993
Channel_Used_encoded,0.010463862
Target_Audience_encoded,0.010453768
Campaign_Type_encoded,0.010431641
Age_Group_encoded,0.009563708
Gender_encoded,0.008750183
